グリッドi,断面積比A,U1,U2,U3,密度rho,速度V,温度T,マッハ数M,圧力P
33.0,1.022,0.5743451635016666,0.5947087369624157,1.5608112309849667,0.5619815689840182,1.035455288482968,0.786812730756359,1.1673354148533446,0.44217425292705853
34.0,1.0495,0.5534292311883318,0.5977681390762191,1.5066095421748391,0.5273265661632508,1.0801166714535155,0.762264043794221,1.2371374452510036,0.40196208072372036
35.0,1.088,0.5358625314802191,0.6001308757836783,1.458216158677118,0.4925207090810837,1.119934387138302,0.7373093339794988,1.3042706268161222,0.36314011598368434
36.0,1.1375,0.5207999163437435,0.6020427122311092,1.4145280213578397,0.45784608030219204,1.1559961769151725,0.7122556211553568,1.3697409985861582,0.32610344431918314
37.0,1.198,0.5071589028600978,0.6032547390119503,1.3734909211462358,0.4233379823540048,1.1894787523396015,0.6871217917864608,1.4349601070283196,0.2908847529663489
38.0,1.2695000000000003,0.493787077118535,0.6033816783797363,1.333146387624468,0.38896185672984235,1.221947082740063,0.661852922696793,1.5020059510819226,0.2574355416942174
39.0,1.3520000000000003,0.47956623515589897,0.6020587048435045,1.2920372066620536,0.35470875381353467,1.255423465431809,0.6363668772255558,1.5737525926520828,0.22572490198888753
40.0,1.4455000000000005,0.46297808811787416,0.5982278550193265,1.248925152536489,0.32028923425657146,1.292129952523839,0.6115481313431683,1.6523074922174055,0.19587228269894058
41.0,1.55,0.4436207281469291,0.5963943483323343,1.198990435256535,0.28620692138511555,1.3443789040777325,0.5750357532968002,1.7728592793632059,0.164579212637448
42.0,1.6655000000000006,0.5401323375692346,0.6098759492467801,1.4126316876834357,0.3243064170334641,1.1291231922743483,0.6891600949337645,1.3601326527419424,0.22349904115041114
43.0,1.7920000000000003,0.9967899824570919,0.577532248758907,2.5201927260394124,0.5562444098532878,0.5793921075884885,0.9173287964384992,0.6049368792205821,0.5102590150163597
44.0,1.9294999999999998,1.137530200985328,0.5867638928320725,2.887836656145885,0.5895466188055601,0.5158226940469958,0.9409755842785925,0.5317546152456895,0.5547489740900307
45.0,2.0780000000000007,1.2425810696826567,0.604592724866055,3.1406394689888937,0.5979697159204314,0.4865619955247364,0.9447171699968022,0.5005958900217682,0.5649122577681417
46.0,2.2375,1.3540217300162793,0.6064186571547334,3.4024515900573156,0.6051493765435886,0.447864789546208,0.9489762309898067,0.45974736925320214,0.574272374538166
47.0,2.4080000000000013,1.4699794922012588,0.6038164116227643,3.6731023398400593,0.610456599751353,0.4107651942263248,0.9522537212220775,0.42093719017124237,0.5813095687578023
48.0,2.5895,1.5938659975006588,0.6004653798788958,3.9651861170828044,0.6155111015642629,0.3767351714764513,0.9553713106507716,0.3854340420544897,0.5880416478215501
49.0,2.782000000000002,1.72637385000542,0.5971682224805904,4.281303232384634,0.6205513479530621,0.3459089828536939,0.9584730759609407,0.3533229772872475,0.5947817592642795
50.0,2.985500000000001,1.8677263903237367,0.5939930445735904,4.622128098158583,0.6255991928734671,0.31803001106100576,0.9615739845503195,0.3243222556472368,0.6015599086228036
51.0,3.2,2.0180971492677333,0.5909333987506963,4.9881463943566136,0.6306553591461667,0.29281712179471464,0.964675383288942,0.29813012991510274,0.6083777003075537
52.0,3.4255000000000013,2.1776566723177644,0.5879761953194772,5.379848117550176,0.635719361353894,0.27000408411196947,0.967777703925139,0.27446219178450376,0.6152350238718272
53.0,3.662000000000001,2.3465745346494415,0.5851061752802915,5.797737262407146,0.6407904245356202,0.24934480735243358,0.9708810775394925,0.2530563910058971,0.6221312978501318
54.0,3.909500000000002,2.5250196856475426,0.5823074111758902,6.242333434837343,0.6458676776179924,0.2306149985624992,0.973985477235076,0.23367449270676038,0.6290657382154705
55.0,4.168000000000001,2.7131606713506273,0.5795642209176668,6.714172222515473,0.650950257041897,0.21361220035271863,0.9770908004918272,0.2161019030483922,0.6360375077334278
56.0,4.4375,2.9111380889864344,0.5768667119280797,7.213711915260075,0.6560311186448303,0.198158484515218,0.9801931717174897,0.2001505720899639,0.643037222929849
57.0,4.718000000000002,3.1187977870337926,0.5752476985679834,7.74065712612858,0.6610423457044916,0.18444533369862576,0.9832488570302164,0.18600985204905837,0.6499691308625145
58.0,5.009500000000001,3.3189555953977776,0.5739165385301718,8.236385679516049,0.662532307694935,0.17292082464917333,0.9842754396660176,0.17429662342261676,0.6521142784493734
59.0,5.312000000000003,3.5323331958503505,0.7029073919709822,8.77840382701016,0.6649723636766469,0.19899238067256247,0.9829755116514167,0.20070819185995764,0.653651549419104
60.0,5.6255000000000015,3.0390395397112764,0.5175231060883303,7.567422628030708,0.5402256758885923,0.17029166594439818,0.9879083992982121,0.17133064711921572,0.5336934827268939
61.0,5.95,2.545745883572202,0.3321388202056784,10.121533482072838,0.42785645102053815,0.13046817529942137,1.5855785237825832,0.10361215607800903,0.6784
