ステップ数,時間ステップ,密度rho,温度T,圧力P,マッハ数M
161.0,0.010653179045176282,0.6847283226291568,0.8337970855949564,0.5709244798325139,1.054536055545297
162.0,0.010663522496152057,0.6857383025014261,0.8342859978444654,0.5721018639625721,1.0553815229449421
163.0,0.010677260263374396,0.6868279801337264,0.8348133796383541,0.5733731873256205,1.0562959500947664
164.0,0.010693957424994535,0.6879918433449311,0.8353763976252235,0.5747321476890257,1.0572708886523747
165.0,0.010713256095209322,0.6892227222888478,0.8359714238869639,0.5761705005270576,1.0582962142769112
166.0,0.010680184706723607,0.6905052665598775,0.8365909015434736,0.5776704234718445,1.0593548265760366
167.0,0.010640938268604056,0.6918278438219388,0.837229097434315,0.5792184012629701,1.0604328965494478
168.0,0.010608439942625562,0.6931797253902529,0.8378807494538056,0.5808019478161682,1.061517547847757
169.0,0.010583140337633683,0.6945499680365702,0.8385405306134885,0.5824082987349671,1.0625959956079083
170.0,0.010565356098616986,0.6959276585870362,0.8392031685895939,0.5840246961953779,1.0636558240796923
171.0,0.010555054242037785,0.6973021123185584,0.8398635407504393,0.585638621024625,1.0646852143344734
172.0,0.010551855234225442,0.6986630521654,0.8405167578421759,0.5872380034301811,1.0656731460282642
173.0,0.010555186858461916,0.7000007889240546,0.8411582462626287,0.5888114359938142,1.0666095885245535
174.0,0.010564356317172044,0.7013063892976197,0.8417838229040953,0.590348373410018,1.0674856693361545
175.0,0.010578632180679155,0.7025718276144743,0.8423897609814123,0.5918393139364311,1.0682938145455319
176.0,0.01059731579964259,0.7037901126229559,0.8429728432151252,0.5932759522644663,1.0690278524001995
177.0,0.010619749352469694,0.704955374788431,0.8435303959255632,0.594651286405139,1.0696830684913683
178.0,0.010578684876158624,0.7060562361052242,0.8440571026379432,0.5959517809464271,1.0702528597649021
179.0,0.010538398196602213,0.707090209591571,0.8445518983045917,0.5971743787831528,1.0707369110046754
180.0,0.01050722033650144,0.7080567924885982,0.8450146524754256,0.5983183644376173,1.0711365511503308
181.0,0.01048523212869327,0.7089563585333203,0.845445636121968,0.599384059522917,1.0714539791388193
182.0,0.010472235810456736,0.7097899453685539,0.845845419074409,0.6003725737950664,1.0716920330649697
183.0,0.010467568457959124,0.7105590425944386,0.8462147687281416,0.6012855558967426,1.0718539803351679
184.0,0.010470268715488602,0.7112654163978344,0.8465545669621795,0.602124986573843,1.0719433436861288
185.0,0.010479238406974364,0.7119109674050894,0.8468657434438702,0.6028930106773559,1.0719637568020757
186.0,0.010493324652060355,0.7124976145639295,0.8471492216875524,0.6035917996320705,1.071918844880978
187.0,0.010511386808718557,0.7130272047242652,0.8474058775649637,0.604223444147059,1.0718121296894951
188.0,0.010532341093392841,0.7135014479972935,0.8476365101846175,0.6047898773920972,1.071646959952775
189.0,0.010555185410394179,0.7139218796477025,0.8478418254008864,0.60529282963414,1.0714264687304818
190.0,0.01054118315530857,0.7142886647412188,0.8480218460666906,0.6057323920983598,1.0711546079680145
191.0,0.01051657378786147,0.7146032442054375,0.8481772112716074,0.6061101868358114,1.0708349191246147
192.0,0.010498627633553786,0.7148674991599396,0.8483087758048427,0.6064283730750377,1.070470240060359
193.0,0.010486311512430001,0.715083078263267,0.8484172799672818,0.6066888402107519,1.0700631358026136
194.0,0.01047857463897245,0.7152514955047717,0.8485033967039962,0.6068933234334118,1.0696160124418088
195.0,0.01047429535274751,0.715374236124002,0.8485677824708127,0.6070435291844959,1.06913123885355
196.0,0.010472328727018908,0.7154528666074303,0.8486111300514823,0.6071412656303039,1.0686112659950233
197.0,0.01047163770963802,0.715489141022291,0.8486342197594345,0.6071885689377999,1.0680587315279477
198.0,0.01047135651602879,0.7154850940486165,0.8486379644412272,0.6071878138014579,1.067476544618381
199.0,0.010470792802794789,0.7154431139814387,0.8486234450735095,0.607141800141048,1.0668679481248224
200.0,0.01046942349376438,0.7153659912933584,0.8485919348635752,0.6070538106872305,1.0662365545407746
201.0,0.010466889053094208,0.7152569397728623,0.8485449104207587,0.6069276358873895,1.0655863532614869
202.0,0.010462980233153158,0.7151195889711279,0.8484840493549687,0.6067675646232834,1.0649216887947577
203.0,0.01045764101109512,0.7149579481293238,0.8484112143298319,0.6065783409671646,1.0642472098213187
204.0,0.010450946798698214,0.7147763439436648,0.8483284246007796,0.6063650897996342,1.0635677932514933
205.0,0.010443066988980388,0.7145793362177838,0.8482378168752474,0.6061332161375363,1.0628884484349477
206.0,0.010434242063071336,0.7143716159236754,0.8481415975713438,0.6058882835891284,1.0622142056350303
207.0,0.010424759916026165,0.7141578908936822,0.8480419888901516,0.6056358781750741,1.0615499943207791
208.0,0.010414932871433228,0.713942764523901,0.8479411712148931,0.6053814639307953,1.0609005168648746
209.0,0.0104050766119354,0.7137306126779834,0.8478412242880362,0.6051302364647516,1.0602701229507177
210.0,0.010395491974759669,0.713525463547347,0.8477440694426971,0.6048869801186147,1.0596626894954249
211.0,0.010386450258396929,0.7133308846628219,0.8476514149276463,0.6046559336960307,1.0590815102981308
212.0,0.010378182345976171,0.71314988066264,0.8475647061096103,0.6044406690159341,1.0585291990168266
213.0,0.01037087154630033,0.7129848048719821,0.8474850820929095,0.6042439858879288,1.0580076085230723
214.0,0.010364650058161453,0.7128372872654463,0.8474133400752631,0.6040678265318017,1.0575177691828719
215.0,0.010359598856997903,0.7127081809711899,0.8473499085616145,0.6039132119770524,1.057059848166807
216.0,0.01035575043504407,0.7125975291127858,0.847294830375278,0.60378020255546,1.0566331314837984
217.0,0.010353093762247651,0.7125045534219089,0.8472477562148908,0.603667884179605,1.0562360299969231
218.0,0.010351580779423698,0.712427665643841,0.8472079492856942,0.6035743816245127,1.0558661101713191
219.0,0.010351133770718775,0.7123645022567185,0.8471743012673352,0.6034968994469886,1.055520149686919
220.0,0.010351653035274588,0.712311982410415,0.8471453595594107,0.6034317904575477,1.0551942173099293
221.0,0.010353024377450908,0.7122663882599017,0.8471193653728143,0.6033746507991145,1.0548837755690867
222.0,0.010355126046164943,0.7122234660423447,0.8470943018231095,0.6033204397091751,1.0545838038628543
223.0,0.010357834864500292,0.7121785453699974,0.8470679507548317,0.6032636209981206,1.054288938689214
224.0,0.01036103139184889,0.7121266733415709,0.8470379566127175,0.6031983222366564,1.053993626810987
225.0,0.010364604047178223,0.712062759282075,0.8470018953104311,0.6031185066918928,1.0536922864212832
226.0,0.010368452191400099,0.711981725275235,0.846957345761339,0.6030181522696918,1.053379470825388
227.0,0.01037248821915785,0.7118786572164107,0.846901961556244,0.6028914311866033,1.0530500288633586
228.0,0.010376638747831249,0.7117489509356022,0.8468335402184731,0.6027328838675804,1.0526992562976554
229.0,0.010380845015385004,0.7115884480470408,0.8467500875455661,0.6025375806802453,1.0523230326938968
230.0,0.010385062612075132,0.71139355657731,0.8466498747560156,0.602301265578416,1.051917938916036
231.0,0.010389260675840947,0.7111613520864389,0.8465314864851481,0.6020204765125209,1.0514813512018906
232.0,0.010393420679249157,0.7108896558820696,0.8463938580933477,0.6016926385206772,1.0510115088234098
233.0,0.010397534928627264,0.7105770879741072,0.8462363012329652,0.6013161266680999,1.050507553497658
234.0,0.010401604884846519,0.7102230935537667,0.8460585171347785,0.600890297366975,1.0499695399227496
235.0,0.01040563940053847,0.7098279429307549,0.8458605975881088,0.6004154879921464,1.0493984179930718
236.0,0.010409652954044425,0.709392705953395,0.845643014070913,0.5998929860223499,1.04879598833325
237.0,0.010413663946744424,0.7089192029068717,0.8454065959127514,0.5993249701066795,1.0481648337266187
238.0,0.010417693117785704,0.7084099346873011,0.8451524987265321,0.5987144264236719,1.0475082297637486
239.0,0.010421762118299822,0.7078679956542364,0.8448821646136698,0.5980650444290911,1.0468300385793854
240.0,0.010425892275320045,0.7072969729596712,0.8445972758281511,0.5973810965632358,1.0461345898780463
241.0,0.010430103564239006,0.7067008363421842,0.8442997036806682,0.5966673067145865,1.0454265535798473
242.0,0.01043441379832858,0.7060838223786844,0.8439914544820001,0.5959287122355961,1.044710808370306
243.0,0.010438838035057695,0.7054503170310576,0.8436746142762379,0.5951705241122273,1.0439923102395439
244.0,0.01044338819193715,0.7048047400442372,0.8433512940120697,0.5943979895421478,1.0432759647798626
245.0,0.010448072859285722,0.7041514343808256,0.8430235766574683,0.5936162607202102,1.0425665066086793
246.0,0.010452897293174791,0.7034945634487082,0.8426934675923,0.5928302731049232,1.0418683888264975
247.0,0.010457863569773095,0.7028380184211412,0.8423628494255195,0.5920446358818183,1.0411856849328653
248.0,0.010462975375588468,0.702185337143258,0.8420334409602785,0.5912635356265908,1.040522006715198
249.0,0.010468258963870528,0.7015396349811887,0.8417067638000961,0.590490655837517,1.0398804329951752
250.0,0.010469355557375864,0.7009038202137263,0.841384251631988,0.5897294362365276,1.039263709411504
251.0,0.010466717084226263,0.7002802398150907,0.841067071555844,0.5889826505697024,1.0386738946946312
252.0,0.01046411748198099,0.6996704593554584,0.8407560108188749,0.5882521442955049,1.038112174648356
