グリッドi,断面積比A,U1,U2,U3,密度rho,速度V,温度T,マッハ数M,圧力P
34.0,1.0495,0.5618282929557965,0.6350712338209641,1.5514882217138144,0.535329483521483,1.1303653478891817,0.7468363366952288,1.3079950951855102,0.3998035103981332
35.0,1.088,0.5340333941295796,0.6348395039743275,1.4894130178098752,0.4908395166632165,1.1887636821084038,0.7199108714703221,1.4010581556606392,0.35336070419308785
36.0,1.1375,0.5108327053024448,0.6351072717127465,1.4379844470175895,0.4490836969691823,1.2432784062577265,0.6931849337164601,1.4932888877161266,0.3112980527167255
37.0,1.198,0.489425508413073,0.6346763276424368,1.3914104298281442,0.4085354828155868,1.296778195522193,0.6663210803548703,1.5886342553635922,0.27221580427298037
38.0,1.2695000000000003,0.4723844482443256,0.6352856563343575,1.3544309876656524,0.372102755607976,1.3448487957117854,0.6404756003961234,1.6804367228064265,0.23832273580707042
39.0,1.3520000000000003,0.45534521283462065,0.6343703259284473,1.3183793782015076,0.33679379647531105,1.393163490133908,0.6146828861821326,1.7769553843989951,0.20702138286568197
40.0,1.4455000000000005,0.4435249818060783,0.6357706874898186,1.2931461876808223,0.306831533591199,1.4334495542977004,0.5909065495975332,1.864760288932737,0.18130876282209502
41.0,1.55,0.42877392819854937,0.6337189316718833,1.2628190125376868,0.27662834077325765,1.477979163365622,0.5664361651649366,1.9637799628077135,0.15669229652354333
42.0,1.6655000000000006,0.4223299489953301,0.6369732292412451,1.249067177655099,0.2535754722277574,1.5082359912114318,0.5460877346546912,2.040976898751119,0.1384744551928496
43.0,1.7920000000000003,0.40679634214540866,0.6321097122849878,1.2179437200725247,0.2270068873579289,1.5538726551750588,0.5215298833633912,2.151670794033709,0.11839087548646715
44.0,1.9294999999999998,0.40909851198615776,0.6403245762590978,1.221949035356062,0.21202306918173508,1.565208763899791,0.5088064347912931,2.194299849733325,0.10787870192386631
45.0,2.0780000000000007,0.3828792977966589,0.6263142929143636,1.1702446440603156,0.18425375254892146,1.6358008816840997,0.47333644401789393,2.377636537748604,0.08721401602845945
46.0,2.2375,0.4074604129183768,0.6474310404440453,1.2178956304089852,0.18210521247748687,1.5889421890262008,0.4886700826625155,2.2730041082938053,0.08898936923464845
47.0,2.4080000000000013,0.6473531870539514,0.7607230029301663,1.696953238906793,0.2688343800057936,1.1751282269762988,0.6618892491897964,1.444417011854758,0.17793858593843917
48.0,2.5895,1.2417904980323415,0.7299286341077592,3.0664258641729276,0.4795483676510297,0.5878033655953685,0.8909997984731902,0.6227206470101139,0.4272774989352148
49.0,2.782000000000002,1.490303173445675,0.6891000292723779,3.6773186677283514,0.5356948862133983,0.4623891578242668,0.9271337702938639,0.4802157966000488,0.4966608195821704
50.0,2.985500000000001,1.5773571986037387,0.7104246344342019,3.8755724038397017,0.5283393731715753,0.45038919216463014,0.9260033435760491,0.46803861221166104,0.48924402609975265
